,timestamp,student_id,f1,f2,f3,f4,f5,f6,f7,f8,f1_output,f2_output,f3_output,f4_output,f5_output,f6_output,f7_output,f8_output
13,2024-05-04 17:41:11,603,[0.646465 0.777778],[0.646465 0.767677],[0.947368 0.894737 0.157895],[0.526316 0.526316 0.368421 0.473684],[1.00000e-06 9.99999e-01 9.99999e-01 9.99999e-01],[1.00000e-06 1.00000e-06 3.68421e-01 9.99999e-01 1.00000e-06],[0.857544 0.105107 0.981405 0.544185 0.319783 0.989592],[0.029107 0.079386 0.420546 0.004454 0.127376 0.023861 0.185158 0.379008],2.864726471734983e-16,0.37859608092388897,-0.12591129017991384,-3.422068421488983,4440.480873839292,-1.3902712960020212,0.31533629947659936,9.2522832692986
86,2024-05-13 16:53:02,603,[0.322387 0.114989],[0.052866 0.578333],[0.352789 0.691756 0.284019],[0.767872 0.269054 0.596913 0.460402],[0.197951 0.437037 0.281052 0.830529],[0.763427 0.823499 0.610225 0.363666 0.932919],[0.951794 0.090823 0.376425 0.92141  0.583207 0.892725],[0.756812 0.332693 0.271606 0.057856 0.152708 0.304588 0.097813 0.103176],-5.326512955552261e-73,-0.04143157259159628,-0.07982726639585501,-11.31976364084721,1.8813696381349887,-2.0889279317889407,0.0036387093757970284,8.741924875607399
136,2024-05-20 18:10:55,603,[0.292929 0.313131],[0.232323 0.989899],[0.789474 0.736842 0.526316],[1.00000e-06 1.00000e-06 9.99999e-01 9.99999e-01],[1.00000e-06 9.99999e-01 1.00000e-06 9.99999e-01],[1.00000e-06 1.00000e-06 3.15789e-01 9.99999e-01 1.00000e-06],[0.97662  0.909101 0.790913 0.259378 0.397813 0.997996],[0.209947 0.321192 0.150756 0.384917 0.469152 0.058028 0.042151 0.252157],-3.5763147564179746e-21,0.08517560442552127,-0.0251154442364063,-40.34835395617227,1616.6257474282386,-1.4203764700440193,0.0669314298800501,9.5780366448181
178,2024-06-04 05:35:39,603,[0.505051 0.717172],[9.99999e-01 1.00000e-06],[0.717172 0.444444 0.616162],[9.99999e-01 1.00000e-06 1.00000e-06 1.00000e-06],[1.00000e-06 9.59184e-01 1.00000e-06 9.99999e-01],[1.00000e-06 1.00000e-06 1.00000e-06 4.73684e-01 4.73684e-01],[0.231738 0.168866 0.446101 0.169305 0.109539 0.979458],[0.059839 0.435556 0.135715 0.177476 0.316181 0.406987 0.179456 0.574987],-3.648630599484505e-17,-0.0931284282849551,-0.06886644106889037,-32.80990053524104,1310.8622979658712,-2.0742375855288797,0.7426142260564188,9.7877805373326
227,2024-06-16 01:01:23,603,[0.454545 0.989899],[0.525253 0.474747],[0.626263 0.575758 0.737374],[0.517241 0.482759 0.448276 0.413793],[6.12240e-02 7.95918e-01 1.00000e-06 9.99999e-01],[0.098648 0.004083 0.166027 0.678477 0.071481],[0.022235 0.194807 0.237146 0.021583 0.259337 0.825119],[0.073791 0.392112 0.100703 0.0396   0.760186 0.641986 0.170571 0.37247 ],-8.198260142564572e-113,0.6879830843648123,-0.10955767552898636,-2.3339923112867633,602.6683142107139,-1.1884836778245442,1.039060569299022,9.897383129801
263,2024-06-19 23:12:53,603,[0.10101  0.474747],[0.848485 0.353535],[0.909091 0.20202  0.050505],[0.517241 0.482759 0.482759 0.448276],[2.24490e-01 7.14286e-01 1.00000e-06 9.99999e-01],[0.090262 0.146471 0.217206 0.495639 0.024083],[0.433522 0.140198 0.84776  0.093574 0.158066 0.974242],[0.107225 0.357153 0.139084 0.220764 0.312614 0.484929 0.018858 0.201176],-2.418732772232627e-74,0.3581387472638531,-0.06455481842226143,-3.227026767985229,437.15154869232845,-1.3727544797836786,0.9418008680678076,9.7511975343124
293,2024-06-23 15:11:44,603,[0.494949 0.464646],[0.989899 0.535354],[0.121212 0.20202  0.282828],[1.00000e-06 9.99999e-01 9.99999e-01 1.00000e-06],[2.04082e-01 7.34694e-01 1.00000e-06 9.99999e-01],[0.138856 0.122673 0.458522 0.963676 0.182865],[0.317056 0.159406 0.611372 0.008727 0.126609 0.704008],[0.260281 0.399347 0.012057 0.474615 0.964886 0.487798 0.22521  0.659656],1.3662170692900234e-06,-0.06959761712771508,-0.12323629038316045,-40.34835395617227,471.12924533408,-1.053740846572255,1.0334524842169894,9.7239699663614
322,2024-06-27 16:07:39,603,[0.090909 0.535354],[0.494949 0.151515],[0.949495 0.616162 0.979798],[0.482759 0.517241 0.413793 0.344828],[0.285714 0.693878 0.       0.938776],[0.129536 0.201295 0.482614 0.795382 0.002892],[0.079231 0.123603 0.071281 0.014134 0.152381 0.385238],[0.006679 0.592171 0.057514 0.074477 0.580291 0.486891 0.427509 0.881298],-1.4255915794686017e-86,0.3693585756719096,-0.34096719147781746,-2.109227085862869,209.00926769612826,-0.762746872110761,0.419799500142836,9.629859389696101
348,2024-06-30 12:26:32,603,[1.00000e-06 9.99999e-01],[0.919192 0.616162],[0.292929 0.40404  0.464646],[0.413793 0.344828 0.310345 0.37931 ],[1.00000e-06 9.99999e-01 9.99999e-01 9.59184e-01],[0.102152 0.134584 0.465549 0.332817 0.030933],[0.031229 0.88925  0.351818 0.021987 0.234551 0.803344],[0.245331 0.000833 0.069626 0.181245 0.519571 0.521073 0.040392 0.409831],0.0,0.06868261561580676,-0.005332213765913587,-0.5354955991700012,3923.42946086607,-1.2658375316151043,0.1849042476499566,9.8292655618024
375,2024-07-03 16:53:10,603,[0.232323 0.989899],[0.20202  0.464646],[0.939394 0.767677 0.949495],[0.413793 0.37931  0.344828 0.37931 ],[1.00000e-06 9.99999e-01 9.99999e-01 9.18367e-01],[0.056633 0.281332 0.474659 0.707648 0.00657 ],[0.137795 0.002368 0.121774 0.275757 0.373242 0.95354 ],[0.055818 0.205482 0.080653 0.441662 0.360497 0.222241 0.145569 0.796744],9.286955072598054e-201,0.010328059200379885,-0.21573033982522422,0.4189456478353226,3493.9913935528352,-0.700317936272716,1.182089915292214,9.7171177546959
405,2024-07-07 15:31:40,603,[0.323232 0.151515],[0.999999 0.717172],[0.545455 0.525253 0.535354],[0.344828 0.37931  0.413793 0.37931 ],[2.04082e-01 5.71429e-01 1.00000e-06 9.99999e-01],[0.138877 0.126091 0.597907 0.313821 0.077665],[0.108451 0.236306 0.65459  0.146033 0.460318 0.955012],[0.072407 0.139357 0.03523  0.137956 0.200296 0.364514 0.250843 0.937299],6.333971495611364e-59,-0.0430779981916318,-0.011940269709109372,0.4189456478353226,281.7632685741332,-1.0542004055054024,1.0468737254013778,9.7565488797749
539,2024-07-21 17:02:29,603,[0.929293 0.333333],[0.868687 0.191919],[0.666667 0.272727 0.707071],[0.37931  0.413793 0.37931  0.37931 ],[2.24490e-01 5.91837e-01 1.00000e-06 9.99999e-01],[0.273116 0.048458 0.4863   0.52228  0.058574],[0.048563 0.910648 0.872401 0.005276 0.269688 0.838957],[0.100967 0.080321 0.100174 0.455022 0.412477 0.187657 0.006237 0.491567],4.870408158033518e-124,0.39646172718195494,-0.13808008210097508,0.30353217548812994,297.27891016059,-0.8824319726106106,0.141327719336274,9.6505266161686
